success,function_name,was_cold,worker_duration_us,code_duration_sec,e2e_duration_us,tid
true,pyhpc-isoneural-0,true,9151917,8.910980224609375,10580083,ab0a6ee20eeb531f925ba90244230cff
true,rodinia-needle-4,true,1463076,1.338627576828003,2817289,e0e108f417290d8c90980e097a8546af
true,squeezenet-0,true,5807786,3.36258864402771,9808665,9258fbdebeb7ce4b4648436e575d8795
true,rodinia-srad-0,true,1847269,1.7410728931427002,19783416,f223cb8fe664f7180b6aece006046975
true,squeezenet-0,false,995616,0.8882911205291748,13034988,cbad343760fe56d60ef07ae483e53a4d
true,rodinia-lud-3,true,696258,0.6062195301055908,10849146,f99a660717587853d850757d99ed3275
true,squeezenet-1,true,3217720,3.2116379737854004,8155392,f192a59b78c682bc3a19af95c5ab4c8f
true,rodinia-myocyte-4,true,455456,0.28595399856567383,19408125,c0fe0cab75274e0d79a161e5c7de5bc0
true,rodinia-needle-4,false,1445837,1.4388492107391355,9872316,29e5071340324314c100efc0a323018a
true,rodinia-needle-4,false,1380947,1.375157594680786,16278072,090cc117525c70dae045fcc9b54745a4
true,rodinia-lud-3,false,511835,0.5077135562896729,9527139,b37bbbc3a46bde780cd92e1fd10acc3a
true,onnx-roberta-1,true,1088748,1.0672235488891602,6989221,7bf59a4922eb4ea221d30dc91a8f0677
true,cupy-0,true,2718744,2.4938554763793945,11193715,df307eceed420beb424e322b1e958146
true,squeezenet-1,false,1211363,1.2082371711730957,5285895,9e09ab99214299e6c93c735f1e86668f
true,rodinia-lavamd-2,true,730213,0.6023538112640381,16247317,e5d939a0ae62b55ac06b931ce9f4ceb4
true,pyhpc-isoneural-4,true,8928125,8.703990936279297,17612368,70a6132b593459b1556ee6330b2c8761
true,squeezenet-1,true,6186638,3.65201187133789,69611483,b66ace634791661ad4e04e254c93c72f
true,torch_rnn-4,true,2924574,2.916346311569214,9720147,298e5f5d96d0e897fb6fdf39bce0a816
true,rodinia-lud-3,false,417772,0.41175055503845215,5699954,d13f0ab7aa044060241b5d4c94ea63ab
true,onnx-roberta-3,true,1005941,0.9900646209716796,6310181,94481733999c28292e5127a3bb24a33e
true,onnx-roberta-1,false,176004,0.1671125888824463,4681616,1e03506a489b3e857d4439ff183acff6
true,rodinia-lud-1,true,639583,0.5068233013153076,17956765,d542191e703e3c174a1c3362ff0a4e18
true,rodinia-lud-3,false,480459,0.4724054336547851,20876122,17cb44f9f5c2fda364936f3116ad7964
true,squeezenet-1,true,5545955,3.0858123302459717,153187527,debf58c8ebaa7831cb1ed50e1e081ddd
true,rodinia-lud-4,true,508774,0.5011379718780518,1917650,3fad0d26481b385445d65b2a6f9db89c
true,rodinia-pathfinder-4,true,497410,0.4897749423980713,1736173,4a475238771cd5ca62cb6eca28ac5cf8
true,rodinia-lud-0,true,608186,0.4764823913574219,37444774,fb299709c1d38f0f9038efd05725b5dd
true,pyhpc-isoneural-1,true,9486354,9.21224308013916,31714278,0bbea4384d465ed99f7e18f6daacd52c
true,rodinia-needle-2,true,1504453,1.4958274364471436,14055041,4fa327d4987794852e9e4936074721b6
true,rodinia-pathfinder-4,false,450873,0.4454784393310547,5345299,c817b29f6ceeb49028ab6ec8d78193f3
true,pyhpc-isoneural-3,true,9462045,9.232891321182253,11776363,014d285a0ab5acc0a383193a69d31900
true,cupy-0,true,2546284,2.328683376312256,57641216,283b0eb62f7ea667e29754d1f317e1bb
true,onnx-roberta-1,false,169392,0.15948748588562012,378880,0d20927767bf13803ee57c1948cd38f6
true,onnx-roberta-2,true,5345795,1.0005640983581543,43150963,7a074f9f8b12afd3b46ec34c5cf9dc23
true,rodinia-pathfinder-4,false,495860,0.4902491569519043,3548059,559cc845d92faad2c8efa9c0369dd83c
true,onnx-roberta-1,false,242558,0.2311701774597168,11155973,b32e0ae10e443903a1261ba533ad1889
true,rodinia-lavamd-2,true,757271,0.6169602870941162,51865367,f24579a86eaa74c16022663a09c6aa56
true,torch_rnn-2,true,4243012,2.550051212310791,16174753,2f17d655b0e9e1353863d2b216e05151
true,rodinia-pathfinder-4,false,457347,0.4458165168762207,3889911,77e2c72ae151313637b56984b08dd6dc
true,rodinia-srad-0,false,1794731,1.7868146896362305,8436189,aac96193278d9f26fdfe5da9d4a273bc
true,rodinia-needle-4,false,1469618,1.4640679359436035,9487146,80e5ac50e84eaa0d9c7a2f02f9a13fd4
true,rodinia-srad-4,true,1868371,1.855621337890625,28051924,4ccbf5fa42ba49e04afb8cf187fc67af
true,rodinia-pathfinder-4,false,482372,0.47449326515197754,13191645,a8d4f9c333138e8bec5f546b72bec672
true,squeezenet-1,false,959770,0.9563920497894288,148462279,3a14d9c12f99ccb83fc2d30a27ed54f4
true,rodinia-lud-4,false,502603,0.4978351593017578,7573938,caebeac2106a912326237892f04286a1
true,rodinia-myocyte-4,false,274147,0.2600362300872803,12084740,0bd0e4804e95a339e77d3fc37d2af96a
true,pyhpc-eos-4,true,4236136,4.016968727111816,41275778,72fa8a9cb7c973806057951f212cb773
true,rodinia-srad-0,true,1826576,1.6952431201934814,37786004,78d06d78f4f830cd6947c81afd07c5c5
true,pyhpc-eos-1,true,4704076,4.478480577468872,15662111,1f70645c921f9c1b65091e1ea77bbe5a
true,torch_rnn-4,false,39358,0.03610825538635254,9167001,eb074478cb8ce012ba3316925a279640
true,rodinia-needle-2,false,1385232,1.3798670768737793,10186570,b5fac2b4919e84c5428b7d28ce36f40b
true,rodinia-needle-3,true,1429028,1.4211745262145996,11321911,6e00707296baa8755c2786377b3f4ae2
true,squeezenet-0,true,5427377,2.783578872680664,56436291,c0ee2c6bfa326975bd522f3900ab3fe8
true,rodinia-lavamd-1,true,675372,0.5843710899353027,6893291,527c30103ef31a6b6832726d57ccf12e
true,rodinia-lavamd-4,true,706127,0.6181154251098633,17397329,69c5041e3c821a148d525a145e8e1607
true,pyhpc-isoneural-0,false,70663,0.06549072265625,6569266,875431d56c0bb658cb36a5230762c336
true,rodinia-needle-4,false,1418793,1.4132030010223389,33704496,61141348633a85d221ed7c8e59db0404
true,rodinia-lud-1,false,465664,0.460132360458374,14202575,a2d66ecaa7cc82e999267c8232d42c0d
true,pyhpc-isoneural-3,false,50955,0.04757881164550781,1091992,35db04a581ff50f90a128208b26da2d7
true,rodinia-srad-1,true,1976213,1.8383991718292236,3917085,b043d37c95b94050980aabfc77db5c17
true,rodinia-srad-3,true,1858870,1.7274320125579834,18503276,383bd6b2edb4dd71f3166265458c1245
true,torch_rnn-1,true,2674169,2.667815923690796,15868450,ac8991ee6410016e2ccb5a3fa3b709a7
true,torch_rnn-0,true,2639254,2.632885694503784,2718060,b0643a92c1937b1ed53fec3f89d5360d
true,rodinia-lud-4,false,461353,0.4543430805206299,656108,2623fbe228db319f7ad72fb6213800e6
true,rodinia-lud-2,true,469699,0.4610264301300049,575760,a846926d8955dd5cad41ce83100cb381
true,rodinia-lavamd-1,false,590520,0.5831139087677002,3926769,818b4199d68fea7f9a4c655ef0badd18
true,squeezenet-0,true,5272771,2.8865041732788086,121554089,600387b7ba7e7c4578db865b3c910cf5
true,rodinia-lud-3,false,526069,0.5193517208099365,16770085,c546ae10e383501feedbaa466bf02e80
true,rodinia-lud-4,false,423042,0.4182381629943848,1641776,2d586b2b0d4628f0d504e6a12c3ea1d4
true,rodinia-myocyte-4,true,566911,0.41211366653442383,40569426,d92a33d2320655d716cf51511d85b4cc
true,rodinia-lud-4,false,424269,0.4194445610046386,1847113,38b2b2ac920c69281e7a9fd09dc30443
true,pyhpc-isoneural-0,false,167762,0.01985025405883789,26672295,720321a386de58e279bb3d9121f8321c
true,rodinia-lud-2,false,441084,0.4344966411590576,1574934,a49afe6d3cb776ec88132081788d5089
true,rodinia-pathfinder-4,false,412619,0.40427398681640625,6456744,7e68f96e35e789b1538a47333afe52f8
true,rodinia-needle-4,false,1440504,1.4348232746124268,42530729,be25b7dea39ecee3cfa89ad8e4cb4dcc
true,cupy-1,true,2679040,2.436643123626709,9823554,278947bdab7b1428f143672ee3456ca8
true,pyhpc-eos-1,false,28915,0.024456024169921875,6834250,b91352c6c098f90735188095843d4f1a
true,cupy-4,true,2637029,2.351234197616577,4109735,cf1eafd5517582277b49cb8de8bb7987
true,cupy-1,false,905535,0.9020700454711914,10431028,80980531aea94d3b5b48d9b90b06e014
true,rodinia-pathfinder-4,false,446036,0.44120335578918457,4509972,5cc8759b8819e904ac11f27e79353980
true,squeezenet-1,true,5254936,2.840909004211426,243826699,7bc0fcd3980928c8008828ba60d7c0ec
true,rodinia-lavamd-4,true,771988,0.6239397525787354,38413575,a3c6ea1d1804ec1302276ef31a8215c8
true,pyhpc-eos-1,false,21068,0.017298221588134766,14310480,509f11d5c2ef5da9613879d05c3d70e0
true,rodinia-lud-1,true,598934,0.45897912979125977,36213898,b6a7c471711fdcd370ed1218baebcc9b
true,rodinia-pathfinder-4,false,421808,0.4165971279144287,5347566,f6121ed533446449dbd0f04fc35cc2d1
true,onnx-roberta-4,true,5306672,1.0003907680511477,16611282,3743bd80dc401ffc79712806af7ec684
true,pyhpc-isoneural-0,true,8962007,8.735910415649414,117399299,111450e9f7771cd6c9ffdff0cd0b8565
true,rodinia-pathfinder-4,false,424167,0.41948652267456055,10223846,f9e9e3ab2bf39e0d965afc25e2a45648
true,torch_rnn-1,false,33126,0.030354022979736328,7669158,c3a7a68b90427c8a2d20acf1fe99bc2f
true,rodinia-needle-4,false,1367051,1.3620717525482178,75670577,5392288a919fc260f25389f13c984f7c
true,rodinia-srad-0,true,1927662,1.7878541946411133,64900573,eabe7ca1bc7dd9ebd1bc609b7765ad08
true,pyhpc-isoneural-0,false,33507,0.030178308486938477,132684529,078617776e3ad20e9b4a1e3a9bd16f75
true,rodinia-myocyte-2,true,449894,0.3064568042755127,5690668,bc6dce4eb069886a167770e73cf3baff
true,torch_rnn-2,false,59122,0.0551447868347168,4287326,269b81cba05bfc9bdd760ba33bf06eb5
true,cupy-1,false,908792,0.9057283401489258,2511940,2e711b0ef19ad913b8bd2dd6739c6d94
true,rodinia-srad-4,false,1704721,1.6998085975646973,23828966,47c414a5368d45d5030ad826ee1463f1
true,cupy-1,false,1771770,1.2358107566833496,3389631,82beadc5dca61136441367f30e723214
true,rodinia-lud-2,false,529560,0.523242712020874,4114186,d72a0bcc61fdd1402b5cda9799cfe870
true,onnx-roberta-3,false,210102,0.19932174682617188,2459267,557128db711a0f98e07cd8367b59cd88
true,cupy-1,false,923384,0.9194848537445068,15201943,280f3359c5df83fbcd8eb29b6b3937f3
true,rodinia-lud-3,false,616755,0.6127481460571289,2749800,37da9503ec4c4866075d4cbd4cf1759c
true,rodinia-myocyte-2,false,258577,0.24579524993896484,10687783,5c4cc67a5f855ff8e406e7e9ab483d8b
true,rodinia-lud-4,false,535516,0.5307521820068359,1926191,134d9990ce71136e2f5ad51c17c1a2f2
true,pyhpc-eos-3,true,4664216,4.384638071060181,8808474,79aed9d217df3eec6de99fa210b10d18
true,torch_rnn-4,true,4204319,2.576399803161621,8622217,a7d18142e305339668d988a43e0f3b71
true,squeezenet-0,false,1088067,1.0843634605407717,126892540,f15bf7ab11ffeb813b2db4b53b1737d7
true,onnx-roberta-3,false,168007,0.15932822227478027,2341496,dd7cac1e4962a6eb608d5854b43c7139
true,rodinia-lud-0,false,470155,0.4631829261779785,16259599,1712241893cf1b7256034b0469f603bf
true,rodinia-lud-3,false,423222,0.4196889400482178,16991881,abaea63d9996efab32b01c3cf9d47bef
true,torch_rnn-0,false,65185,0.05735278129577637,1667752,703a7919d9fc74844675a85752d358af
true,torch_rnn-2,false,64687,0.06133770942687988,955711,92b6f55fbddaa44f73f6c470d2503d96
true,pyhpc-isoneural-3,false,106220,0.10222983360290527,10576872,69485a0f80568727f54819a86f7231cb
true,pyhpc-isoneural-3,true,8821884,8.539089918136597,68419038,6b0c8c4bfe058ac9271daf8143da8010
true,rodinia-lavamd-1,false,570828,0.5637664794921875,7474368,34a06ed681c3319b3bd7f5b086ce8699
true,onnx-roberta-4,false,174878,0.16688060760498047,6398127,74817788cb23ea2473003ccf70f6514f
true,rodinia-pathfinder-4,false,541556,0.5356552600860596,12215492,14f08661c0055739f6c52a1375df3000
true,pyhpc-eos-1,false,23331,0.019787073135375977,13693888,3466449a5838cec440037f36bfdec333
true,squeezenet-1,true,5241840,2.7878854274749756,263693641,df0a198aa85429d787632c3221229ae8
true,pyhpc-isoneural-0,true,9142534,8.856597423553467,171714002,f46c1787383816f4b488d8286505dfa7
true,onnx-roberta-2,false,173000,0.16312503814697266,7009333,0a105f8de1ecf6413844cf4897b1324b
true,onnx-roberta-2,false,175513,0.16518783569335938,6542523,677fc58e23c0cabefac759da3c0b2ee7
true,torch_rnn-2,false,77080,0.07317495346069336,3000822,c9100791c440dfb9aa2196e81498bdf3
true,rodinia-needle-2,false,1389389,1.3834216594696045,2747345,e8385e47c4466d4dba0218d0fbd73c93
true,rodinia-needle-2,false,1401398,1.394390344619751,3775922,9216228ab059ea07c7cff6ba74dfcd5a
true,pyhpc-isoneural-3,true,9210999,8.936110734939575,124667090,416af7cf354c5dd101b04cc9c7a1cd52
true,cupy-1,false,899785,0.8959221839904785,20113743,e9df87610c5e427b9adba38ed0c5c2b8
true,rodinia-myocyte-2,false,252097,0.23939871788024905,4169353,3ac00ebee2bc26841b5916c901dc9c7a
true,rodinia-lud-2,false,507383,0.5014772415161133,2984506,135120676c754a06c97e73f93e37ea14
true,onnx-roberta-2,false,295101,0.2845163345336914,6756315,5cdeb6b3542bc9e9081bb868bfec3669
true,rodinia-needle-4,true,1480895,1.3873624801635742,113151459,59bf60f87e0ac89e3c33d6b813af9f54
true,rodinia-needle-3,false,1357377,1.352590560913086,3632320,a843502606d425acaf5bf36bc30b09e4
true,rodinia-myocyte-2,false,327730,0.31923747062683105,16559648,0004317ac67531037048f16eb6ed00fe
true,onnx-roberta-0,true,5536520,1.0695619583129885,7394911,201c64e51eca322dd0877cc432935dba
true,torch_rnn-1,false,76895,0.07357430458068848,2791658,836ca030fc6e8bd507990cd5d73c91f8
true,cupy-1,false,1156674,1.0071744918823242,41676765,d86782ae08ce34bad095aede3df4eae3
true,rodinia-lavamd-3,true,839066,0.7037649154663086,4343715,650052e147a7f57b9305ec456d747bf8
true,rodinia-myocyte-0,true,382262,0.2267615795135498,7041681,f02076183b7b37a8b6fc3a6351badd32
true,rodinia-lud-0,false,474964,0.4701948165893554,6279125,b47dde47cb8dea362b6cf9ccca06b8c0
true,rodinia-pathfinder-4,false,558841,0.5517101287841797,2779599,7a1796b99ce2a25bd24f98c090a85aba
true,pyhpc-isoneural-1,false,52094,0.04872679710388184,870396,a414b18c56192242fde8f15a25abbfc5
true,rodinia-lavamd-1,false,592550,0.5847413539886475,742024,5af195b47c23a9581974af36b53e7428
true,rodinia-myocyte-2,false,272144,0.2586662769317627,54320673,5cd655f880f314e0b1dc9ec15f65e5b1
true,onnx-roberta-1,true,5290414,0.9665312767028807,7282926,4252a8f9ff512c013406b81850c7d113
true,onnx-roberta-2,false,211149,0.1956934928894043,336567,6af27b3567e0de52f05203cf58654f33
true,rodinia-needle-4,false,1384293,1.3790395259857178,111865939,d25aa02180f1f829f2872c9894622194
true,onnx-roberta-0,false,210970,0.19913387298583984,3545020,47b2655d118f77188ba6c61452e22a98
true,rodinia-myocyte-2,true,492865,0.35271286964416504,116631299,ab27dea54830c51ec2036d27559ca6f7
true,pyhpc-eos-1,false,26092,0.021833419799804688,1221416,338d20ab108ec19d82552035433937ad
true,onnx-roberta-0,false,222563,0.21192026138305664,3645131,1c265888c1892240dfeb35b5612964be
true,rodinia-lud-3,false,536164,0.5285689830780029,690224,bdc7dfe97f1837d0b75e6a0086410aee
true,pyhpc-isoneural-1,false,193029,0.017091989517211914,2628564,1452256bebc1f993f95455987e834d1d
true,onnx-roberta-2,false,221614,0.20777654647827148,2583903,6bea7e4563e251f4a113401837547687
true,rodinia-lavamd-2,false,630594,0.6259419918060303,4612718,a493a6dc503bbb531a9883ed1d16eb8f
true,rodinia-lud-0,true,598835,0.4612550735473633,37447690,3f498d7f181e734dfc422c67e7710a7a
true,onnx-roberta-1,false,216681,0.20664119720458984,3827275,766bfc1aa26f9b155936717101553b61
true,pyhpc-isoneural-0,true,9206186,8.980572938919067,251621713,e12fca8760ea2ed4a6aae2e4786dc377
true,rodinia-srad-0,true,1938469,1.828888177871704,116261258,29ade143b1293bcd4bf69e7561d6559d
true,pyhpc-isoneural-1,true,9039794,8.761961698532104,47816908,ffd40636d4c99867a215b5c3558e1831
true,torch_rnn-1,false,71330,0.06811189651489258,441823,56ba02f9f59a80151456971e0d6e5d26
true,cupy-1,true,2683794,2.4667649269104004,110307149,872c8de85bbc28f621dcb90b89875f13
true,rodinia-lud-4,false,603500,0.5962483882904053,937087,6b45b1450f21f9c692fd09d8c89aafa6
true,pyhpc-eos-4,false,23649,0.01861262321472168,690276,3bef6aea4fae22685616cc97a1c2c1ac
true,rodinia-srad-1,true,1876457,1.7435779571533203,12591570,d0d3f5ad56e6277a035a3759c5540d7d
true,rodinia-needle-2,true,1716471,1.583148717880249,16443772,ad10969f44b96ab49c353a2f1feccccd
true,pyhpc-eos-3,true,4384608,4.115051746368408,9947395,5ec4a587849ba492dea0e4d6c5308414
true,squeezenet-2,true,5583688,2.8469557762145996,23193109,a18cd10d1047b472ff2b971ca8b62bd0
true,cupy-4,true,2728977,2.488919734954834,6956210,c2d52ff822aea37a9c198747c7ea5e77
true,squeezenet-1,true,5262457,2.8973443508148193,310865756,2dc3d193f9f3c1b5f19b942ed9a5bcff
true,squeezenet-0,true,5983269,3.388838529586792,157413856,7f6b5dfe3fe688c5d59f7fe5da00c2c1
true,rodinia-needle-3,false,1381050,1.3756463527679443,10400407,1a5a11aea84d38461c05064b2f33bad1
true,rodinia-lavamd-2,false,568431,0.5633609294891357,18362172,7c0ed33a498e77911d37a8ac40771bb8
true,onnx-roberta-2,false,241061,0.2294783592224121,12822000,9207417697460d2dfe47c33cdee95cfb
true,torch_rnn-0,true,4275525,2.576249599456787,8747835,7c277902d28bb9477550f24985546f99
true,pyhpc-eos-1,false,32911,0.028514385223388672,7362948,b049bd5e49cdffd5897c0de1a1c751cb
true,rodinia-myocyte-4,false,372440,0.3604617118835449,10798909,015c07f42f2071191c33fb966a1d7b35
true,pyhpc-isoneural-1,true,9072968,8.810591697692871,100329285,a1d8e77fc9068aaa030101a7a8cdd4f4
true,rodinia-lavamd-4,false,596133,0.5893657207489014,21896796,7810c9a1b115a44f53a6916897de71c7
true,torch_rnn-0,false,35152,0.03189826011657715,5848124,8aee976fc62f3fb37b80a7f82d172c6e
true,squeezenet-1,true,5268199,3.0037403106689453,357513489,da8ee039227e375ce7f55d791199df61
true,cupy-1,false,907334,0.904726505279541,100723728,ddc57ed1ff3a30c726191cc3d970fa57
true,squeezenet-1,false,1225525,1.0909292697906494,358505846,56a0712f8ae5f363791f47c7f763eea1
true,rodinia-lavamd-3,false,668926,0.6636724472045898,4182972,376579d299a072bc1f385744fae212f3
true,squeezenet-0,true,6128791,3.5701167583465576,254362001,557625861f57adb092918ad0c4e676ae
true,rodinia-srad-1,false,1760735,1.7571752071380615,5093078,98c68ce000cbeaa4746d3e97b28dd709
true,rodinia-pathfinder-4,false,496434,0.4909050464630127,1401448,4733fe90026873b2e090b63adb19bd45
true,pyhpc-eos-1,false,20766,0.01746344566345215,2682085,a50928aab2d5e6ab2d5cf678a67f04d9
true,rodinia-pathfinder-4,false,428084,0.4250302314758301,7417296,709d697e6b825b2a41bf874e1e98e979
true,rodinia-needle-3,false,1344351,1.3387010097503662,4472002,ee71c5d264db5a3edf35be2f09f30bf4
true,pyhpc-isoneural-1,true,9444535,9.170266389846802,141098620,bad6db8cc0461ef3fa68831a1358d4d0
true,pyhpc-isoneural-1,true,9301105,9.02276086807251,200567933,117d3690cb96047366ca1ee67f75449c
true,pyhpc-isoneural-0,false,186645,0.027796030044555664,236609975,d6fb6dab0a9a39c55c11f009fd264499
true,rodinia-lavamd-0,true,822317,0.6879897117614746,7825091,74b7bab38fe55a68608ae8543fb9d375
true,pyhpc-eos-1,false,20420,0.01694512367248535,907284,818cfb2332896d54f89e060b0ff52442
true,pyhpc-isoneural-3,true,9687645,9.456340074539185,142274112,8ba753e5b8ac19e9015e4a471e244f9d
true,rodinia-lud-3,false,559830,0.5540056228637695,3343481,b55ebdc190fda4f307ffadfe4fb2639b
true,pyhpc-eos-1,true,4364254,4.089210271835327,71436001,30fbea8a863a0880149e590f7909db85
true,onnx-roberta-1,false,226383,0.2149040699005127,467660,8360d0cd95b89fb5c932d6d1b457d79b
true,torch_rnn-4,true,4180993,2.530597448348999,5863832,cbb1e9e3951a09a58389e9457f8f8eaa
true,torch_rnn-0,false,216616,0.2132713794708252,2095958,adf8b93d6472ad36f507613a837dd1f0
true,rodinia-lavamd-3,false,938341,0.9318575859069824,1689314,063c71849611dfc36e98f45956de1725
true,rodinia-lud-3,false,438209,0.4308779239654541,2094409,f6f133037908bdb1ed93e8cc5dd2b7ab
true,rodinia-srad-1,false,1841054,1.832519769668579,33629626,0e3b24d2b5579eabd430f7ff8e5409d6
true,rodinia-myocyte-4,false,342618,0.33132219314575195,4838924,55bffe18f46718e0c52ad06868d41561
true,pyhpc-isoneural-1,true,9720612,9.45661163330078,229940736,81966df5a34f21226cd9801fa9ee34e0
true,onnx-roberta-1,false,205355,0.1970651149749756,971362,bb2347d75481b553bd6625736f77fee3
true,pyhpc-isoneural-1,true,10277196,10.051067113876345,296779423,7be43314da32166670532ed438e07096
true,onnx-roberta-2,false,219640,0.20933055877685547,1497255,a00e88c0c0b9ab90359a59aceb090496
true,onnx-roberta-3,true,13327439,1.1218740940093994,14767369,2429ccf7028417645e6e957810bdd963
true,rodinia-lud-4,false,436237,0.4265122413635254,597536,67d06feabfec6e742fe1c846b9e2535f
true,pyhpc-isoneural-3,true,9426013,9.202255249023438,234187489,081a82a6991ae7a643a997b1e867decb
true,onnx-roberta-3,false,184398,0.17600059509277344,14373618,b80156ad7582fe462f5b8383a99dc296
true,rodinia-srad-3,true,1909524,1.77166485786438,3918039,3a4b3b849b6472d9a05ba306c63930cc
true,cupy-1,false,1776831,1.26031494140625,90342872,12871dcb19a733ac34608d7c5d7fd289
true,rodinia-myocyte-4,true,360841,0.2357687950134277,88451171,d461ea6022c7f0e9c56ecdddd925cf19
true,onnx-roberta-3,false,225002,0.21416258811950684,24357557,b905ef37e93a99d16d0ceb2057de8487
true,rodinia-lavamd-2,false,649951,0.6417689323425293,1666766,c90f66cb3d858eed94484351eca84c00
true,rodinia-lavamd-3,false,605359,0.5980288982391357,912335,37bad96c67215740f2506fe050dcece4
true,pyhpc-isoneural-3,false,285462,0.10019087791442872,230254366,b342859f83377deaa4eabe6c11058c8c
true,cupy-4,false,909313,0.9023392200469972,1052222,01a357b6b1e4991ddc1c70f4af390644
true,rodinia-pathfinder-4,false,492729,0.4876577854156494,661630,18ba6f7c15898d4c51bbe096b2d9516d
true,rodinia-pathfinder-3,true,626535,0.4889225959777832,3259818,68d801ab874d869162c85b84c94d3d98
true,pyhpc-eos-1,false,10466,0.007493495941162109,80866218,62cc87ea92c9d29ee5ed958127907a87
true,onnx-roberta-2,false,205553,0.19555211067199707,450194,b276d855c7bdde0c76e34ff46d9c73d2
true,squeezenet-1,true,5717292,3.0689728260040283,407694546,0d75139a0b376fcebef045517d649ec2
true,rodinia-lud-3,false,505222,0.4994273185729981,633498,b4de2172da856efd1113f7ff156b1d3e
true,onnx-roberta-0,true,5618112,1.0607318878173828,7523447,b483e93e5ab295f157aa787bc89656c7
true,rodinia-lud-3,false,449114,0.44399237632751465,23834987,a754b24a05864685cf3def66b15d7ae2
true,cupy-1,true,2706721,2.438007354736328,131708065,9d558ed9cc90bb58921347b05d344df7
true,pyhpc-isoneural-1,true,9810273,9.556752681732178,340725333,6bd31a2a5390ffd2c37e64d731e02af7
true,rodinia-lavamd-2,false,580158,0.5731120109558105,2229709,c49e66c438898df87d918c0d755d1efe
true,rodinia-lavamd-4,false,618698,0.6115481853485107,2274277,bdd57515ff4570dbbca0cbfb67c7fd04
true,onnx-roberta-2,false,156647,0.14828133583068848,767838,08cf6e65ba20ba4ee960b5d4c2453dc5
true,squeezenet-1,true,5423768,2.988281011581421,458744651,46e5f5c900a44f3291803c979b89afc6
true,pyhpc-eos-3,false,33924,0.018234729766845703,35469,216f70b22d6f0f0441851a3576173cea
true,rodinia-needle-2,false,1383503,1.375934362411499,3937063,d08d3db9f2610051cd4844d34f21302a
true,rodinia-needle-2,true,1574331,1.4684531688690186,47420105,cb1290020474f01ed03b26949ad2d2b9
true,rodinia-lud-2,true,660568,0.5345568656921387,15056270,e4ae7559022cce31df030b31fbbc518e
true,pyhpc-eos-1,false,18450,0.015917539596557617,75825371,974c538b18b213f2ce6b9bb07db50c2f
true,torch_rnn-0,false,57743,0.05408740043640137,12683103,09f7c1d70a237269e1633fb075f3d975
true,rodinia-lud-0,false,631328,0.6269307136535645,13452611,fdaada02dd8c3a763ae6ffc65a56828d
true,pyhpc-isoneural-0,true,9093348,8.830872774124146,318850625,3b734eb8c0f2ad6eafba6c6e5e447595
true,rodinia-lud-4,false,504788,0.4999401569366455,12560875,17d7bfeb16180ef50b7511b3524b60d5
true,rodinia-srad-0,true,1937670,1.800973415374756,121271388,b07e150bf5e35cd107501de1a3432578
true,pyhpc-isoneural-1,false,53938,0.04951143264770508,333656209,8713ddc87bf510b215eee0b4a62c1922
true,cupy-4,false,919261,0.9156813621520996,12589679,4483cd52cf7b737837d4d26fd0ddf9a6
true,onnx-roberta-2,false,207020,0.19680094718933103,10930531,d5a71ab776ce523f57e0225695839263
true,onnx-roberta-2,false,201316,0.19036364555358887,12554108,0385319d1780fb5d1d5e3e9d72fefaf0
true,pyhpc-isoneural-1,false,260264,0.11969828605651855,332647767,1b9a01a09a195bddb9619d34da96f6d2
true,rodinia-srad-4,true,1879889,1.7737300395965576,23320725,9353ca278258ce2c5d43670dfdff97b0
true,onnx-roberta-0,false,183072,0.17524456977844238,9094191,ec9a768e9c3507ca68fb5e5d82a224ad
true,cupy-2,true,2800232,2.5467007160186768,17753945,37968082a3d4a45b116bfc6dcdf62b53
true,squeezenet-1,false,1104718,1.0973968505859375,453026245,ce0cd20e70ad74c852422aa37265d8d5
true,rodinia-pathfinder-4,false,551219,0.5466644763946533,13494717,eecd0f6f3de523b61d3612d9e289bf0e
true,rodinia-lavamd-1,true,723315,0.60494065284729,11831356,a9f4bf1c8730ad26d1d032e957cde00a
true,rodinia-pathfinder-0,true,594228,0.4500281810760498,37600458,b9d94695f994f084012ce7b70c93e4a3
true,rodinia-lud-2,false,581655,0.5745809078216553,8161423,103306670da7b12119f1aed71797a7fd
true,rodinia-lud-1,true,570924,0.4660038948059082,8383754,792a6cac58d182dd5dd99d17059eaed2
true,pyhpc-eos-0,true,4619932,4.3835461139678955,16577186,36cb6a7de3ea9e4d233027b580487bc9
true,rodinia-lud-2,false,540219,0.535158634185791,6609249,bdf0450c055434af95fdf57e89d0d5ab
true,pyhpc-isoneural-1,true,9559358,9.303982973098757,416782155,6f2e8b109556c8e965f24636c2620399
true,onnx-roberta-0,false,211062,0.20023250579833984,5086634,4d67c7d2865ae4ce2b1ca3ca4893e640
true,rodinia-myocyte-4,false,254228,0.24209976196289065,66715545,fc654d1caa3288860dbd3819f1a31644
true,pyhpc-eos-1,false,12077,0.00869894027709961,66698410,848b9b3d9f33647c46ab1677386f6017
true,rodinia-pathfinder-3,true,654026,0.5218281745910645,24320087,0819f9e8af33d5f88963e62519031f83
true,pyhpc-isoneural-1,true,9678984,9.4016695022583,447276903,2afd79b82519b07d8302fb90a06e4920
true,torch_rnn-0,false,60691,0.05763864517211914,1646520,c69260449982131ea01496ce7f698786
